                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1655,                0.79467,                 1.3552,                0.91349,                0.90572,                0.93953,                0.60011,                 1.1982,                0.64615,                 1.3176,               0.000656,               0.000656,               0.000656
                     50,                 1.1587,                   0.79,                 1.3547,                0.92883,                0.90151,                0.95416,                0.61547,                 1.1571,                0.60697,                 1.2933,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1393,                0.77734,                 1.3383,                0.93004,                0.89047,                0.95285,                 0.6103,                 1.1497,                0.62672,                 1.2908,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1415,                0.76977,                 1.3372,                0.93023,                0.89533,                0.94172,                0.61143,                 1.1766,                0.61712,                 1.2941,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1248,                0.75746,                  1.328,                0.93263,                0.88232,                0.93955,                0.61654,                 1.1475,                0.62398,                 1.2885,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1215,                0.74659,                 1.3199,                0.91881,                 0.9055,                0.95139,                0.60928,                 1.1592,                0.60898,                 1.2849,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1172,                0.74227,                  1.317,                0.92601,                0.90664,                0.94596,                0.60882,                 1.1376,                 0.6193,                 1.2722,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1056,                0.74476,                  1.311,                0.91267,                0.91709,                0.94137,                0.62167,                 1.1167,                0.60191,                 1.2593,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0977,                0.73523,                 1.2982,                0.94831,                0.90939,                0.95883,                0.63161,                 1.1107,                0.59056,                 1.2553,               0.000557,               0.000557,               0.000557
                     58,                 1.1024,                0.73728,                 1.2969,                0.93303,                0.90919,                0.95181,                0.62379,                 1.1312,                0.59717,                 1.2537,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0838,                0.73601,                 1.3016,                0.92566,                0.92088,                0.95627,                0.62777,                 1.1012,                 0.5794,                 1.2357,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0828,                0.72799,                 1.3034,                0.91848,                0.92373,                0.95641,                0.63026,                 1.1251,                0.57908,                 1.2531,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0743,                0.70485,                 1.2878,                0.95597,                0.89048,                0.95619,                0.63996,                 1.0753,                0.56772,                 1.2353,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0616,                0.70347,                 1.2792,                0.94247,                0.92196,                 0.9637,                0.64389,                 1.0702,                0.56691,                 1.2328,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0552,                0.70022,                 1.2643,                0.92998,                0.92277,                0.95835,                0.63669,                 1.0746,                0.56619,                 1.2244,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0496,                0.68966,                 1.2698,                0.93315,                 0.9392,                0.96744,                0.65783,                  1.055,                0.55845,                  1.208,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0224,                   0.67,                 1.2537,                0.93036,                0.93089,                 0.9628,                0.66489,                 1.0381,                0.55639,                 1.2025,               0.000458,               0.000458,               0.000458
                     66,                 1.0293,                0.68398,                 1.2597,                0.97013,                0.90413,                0.96459,                0.66936,                 1.0312,                0.53323,                 1.1967,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0219,                0.67033,                 1.2388,                0.94067,                0.92786,                0.96551,                0.65986,                 1.0311,                0.54723,                 1.1936,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0071,                0.66154,                 1.2412,                0.94521,                0.93335,                0.96564,                0.66235,                 1.0309,                0.54523,                 1.1892,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0168,                0.66136,                 1.2414,                0.94888,                0.92505,                 0.9663,                0.65844,                 1.0276,                0.53529,                 1.1907,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0064,                 0.6587,                 1.2346,                0.95856,                0.92322,                0.96542,                0.67099,                 1.0103,                0.52243,                 1.1788,             0.00039613,             0.00039613,             0.00039613
                     71,                0.99672,                0.65486,                 1.2331,                0.95926,                0.92871,                0.96749,                0.66596,                 1.0062,                0.51825,                 1.1756,             0.00038375,             0.00038375,             0.00038375
                     72,                0.99143,                0.64938,                 1.2256,                0.95431,                0.92501,                0.97297,                0.67357,                0.98623,                0.51591,                   1.16,             0.00037138,             0.00037138,             0.00037138
                     73,                0.97696,                0.64398,                 1.2269,                0.95277,                0.94051,                0.97174,                0.67722,                0.98724,                0.50776,                  1.159,               0.000359,               0.000359,               0.000359
                     74,                0.96849,                0.64869,                 1.2135,                0.95124,                0.92856,                0.96454,                0.67924,                0.99008,                0.51698,                  1.166,             0.00034663,             0.00034663,             0.00034663
                     75,                0.97609,                0.63891,                 1.2156,                0.95243,                0.95091,                0.97549,                0.68111,                0.96473,                0.50808,                 1.1491,             0.00033425,             0.00033425,             0.00033425
                     76,                0.95858,                0.64136,                 1.2048,                 0.9665,                0.94555,                 0.9749,                0.67423,                0.99297,                0.51011,                 1.1567,             0.00032188,             0.00032188,             0.00032188
                     77,                0.95091,                0.62274,                 1.2031,                0.95604,                0.92304,                0.96666,                0.69164,                0.97086,                0.49649,                 1.1466,              0.0003095,              0.0003095,              0.0003095
                     78,                0.94646,                0.62273,                 1.2022,                0.96935,                 0.9391,                0.97251,                0.69058,                0.96921,                0.48964,                 1.1467,             0.00029713,             0.00029713,             0.00029713
                     79,                0.94616,                0.62643,                 1.2033,                0.96174,                0.93943,                0.97289,                0.68434,                0.96066,                0.48858,                 1.1474,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.9338,                0.61648,                 1.1917,                0.97226,                0.93984,                0.97669,                0.69074,                0.95327,                0.47763,                 1.1411,             0.00027237,             0.00027237,             0.00027237
                     81,                0.91668,                0.60236,                 1.1845,                0.96227,                0.95332,                0.97794,                0.69687,                0.93874,                0.47785,                  1.127,                0.00026,                0.00026,                0.00026
                     82,                0.92341,                0.60838,                 1.1862,                0.95202,                0.94315,                0.97421,                0.69871,                  0.945,                0.48168,                  1.136,             0.00024762,             0.00024762,             0.00024762
                     83,                0.91204,                0.59677,                 1.1716,                 0.9618,                0.95575,                0.97557,                0.70049,                0.93709,                0.47083,                 1.1261,             0.00023525,             0.00023525,             0.00023525
                     84,                0.90508,                0.58796,                  1.172,                 0.9635,                0.93822,                0.97345,                0.69752,                0.93458,                0.46584,                 1.1236,             0.00022288,             0.00022288,             0.00022288
